t(s),Flux surface 1: solute,Flux surface 1: solute,Total solute volume 1,Total 2 volume 1,Total 3 volume 1,Total retention volume 1
465.68406970191404,-4.4289118363878886e+18,-4.4289118363878886e+18,1610078172661316.2,3.2517650777618993e+19,5.528878123461363e+18,7.055477089819969e+19
466.18406970191404,-4.4669309499307034e+18,-4.4669309499307034e+18,1655054463932928.8,3.3014310816835437e+19,5.528921429137981e+18,6.832131205463304e+19
466.68406970191404,-4.477692017423936e+18,-4.477692017423936e+18,1695010998175670.5,3.344383662264703e+19,5.528953715116034e+18,6.608247295025069e+19
467.18406970191404,-4.462804847144719e+18,-4.462804847144719e+18,1730021089232905.0,3.37848133152358e+19,5.528973953270699e+18,6.3851077474902335e+19
467.68406970191404,-4.4250162992564326e+18,-4.4250162992564326e+18,1760659796401996.0,3.401539346241586e+19,5.528980155004429e+18,6.16385761252021e+19
468.18406970191404,-4.3680375944705116e+18,-4.3680375944705116e+18,1788074666227721.0,3.411510812771047e+19,5.528969092801949e+18,5.945456380436278e+19
468.68406970191404,-4.296223476943184e+18,-4.296223476943184e+18,1813968712461095.2,3.4067129656614187e+19,5.528935916075398e+18,5.73064580452723e+19
469.18406970191404,-4.214135296903512e+18,-4.214135296903512e+18,1840468260526265.2,3.386056316092713e+19,5.528873636570085e+18,5.519939569199465e+19
469.68406970191404,-4.1260632711414646e+18,-4.1260632711414646e+18,1869886473860031.2,3.3492117672551506e+19,5.528772449260159e+18,5.313636844890235e+19
470.18406970191404,-4.035608017012795e+18,-4.035608017012795e+18,1904441553327362.0,3.2966548879900713e+19,5.528618840292612e+18,5.11185676595012e+19
470.68406970191404,-3.945408362509431e+18,-3.945408362509431e+18,1946014636391383.8,3.2295669901970616e+19,5.528394413410114e+18,4.914586517584647e+19
471.18406970191404,-3.85705393716302e+18,-3.85705393716302e+18,1996013136274220.2,3.1496295334522044e+19,5.528074340466565e+18,4.7217337926939754e+19
